TERMINAL  #,COMMON NAME,Station Name,Lattitude,Longitude,Install Date
30000,,100 Main Street SE,44.984892,-93.256551,4/8/11
30001,,25th Street & 33rd Ave. S,44.95734,-93.22374,4/8/11
30002,,Augsburg College,44.96622,-93.2384,4/8/11
30003,,Plymouth Ave. N & Oliver Ave. N,44.991412,-93.306269,4/9/11
30004,,11th Street & Hennepin,44.97534,-93.27869,4/8/11
30005,,Hennepin & Central Ave. NE,44.98889,-93.25392,4/8/11
30006,,YWCA Downtown,44.972217,-93.276435,4/8/11
30007,,9th Street & 4th Ave. S,44.97265,-93.26872,4/8/11
30008,,Midtown Exchange,44.94859,-93.2602,4/9/11
30009,,4th Street & 13th Ave. SE,44.98102,-93.23746,4/8/11
30010,,Hennepin & Laurel Ave.,44.97391,-93.28305,4/8/11
30011,,North 2nd Street & 4th Ave. N,44.986087,-93.272459,4/8/11
30012,,Mpls. Convention Center,44.970041,-93.275861,4/8/11
30013,,Lake Street & Lyndale,44.94964,-93.28827,4/8/11
30014,,25th Ave. S & Franklin,44.96293,-93.23604,4/8/11
30015,,Washington & Cedar,44.97344,-93.24748,4/8/11
30016,,Walker Art Center,44.96746,-93.28848,4/8/11
30017,,22nd Street & Lyndale,44.960744,-93.28815,4/8/11
30018,,MCAD,44.957214,-93.274981,4/8/11
30019,,Social Sciences,44.971359,-93.243754,4/19/11
30020,,YWCA Uptown,44.95131,-93.29853,4/8/11
30021,,Washington & 2nd Ave. N,44.98383,-93.27099,4/8/11
30022,,26th Street & Lyndale,44.95548,-93.28775,4/8/11
30023,,Chicago & 27th Street,44.95355,-93.26259,4/17/11
30024,,Kolthoff Hall,44.97381,-93.23649,4/8/11
30025,,Williamson Hall,44.977406,-93.234911,4/8/11
30026,,Akerman Hall,44.97535,-93.2319,4/27/11
30027,,4th Street S & 19th Ave.,44.97003,-93.24519,4/8/11
30028,,Washington & Marquette,44.98112,-93.26634,4/8/11
30029,,5th Street & 3rd. Ave. S,44.976602,-93.266701,4/19/11
30030,,South 2nd Street & 3rd. Ave. S,44.980926,-93.26285,4/8/11
30031,,University Ave. & 23rd Ave. SE,44.974588,-93.223323,4/8/11
30032,,4th Street & 17th Ave. SE,44.97913,-93.23189,4/8/11
