Terminal,Station,Location,Latitude,Longitude,Nb docks
30000,100 Main Street SE,140 Main Street SE,44.984892,-93.256551,27
30001,25th Street & 33rd. Ave. S.,3301 East 25th Street,44.95734,-93.22374,15
30002,Augsburg College,2381 Riverside Ave. S,44.96622,-93.2384,15
30003,Plymouth Ave N. &  N. Oliver Ave,2060 Plymouth Avenue North,44.991412,-93.306269,15
30004,11th Street & Hennepin,1060 Hennepin Ave.,44.97534,-93.27869,23
30005,Hennepin & Central Avenue NE,422 East Hennepin Ave.,44.98889,-93.25392,15
30006,YWCA Downtown,1190 Nicollett Mall,44.972217,-93.276435,23
30007,9th Street & 4th Ave.,380 South 9th Street,44.97265,-93.26872,19
30008,Midtown Exchange,2975 Elliot Ave. S,44.94851,-93.2602,19
30009,4th Street & 13th Ave. SE,1280 4th Street SE,44.98102,-93.23746,19
30010,Hennepin & Laurel Ave.,1400 Hennepin Avenue,44.97391,-93.28305,15
30011,North 2nd Street & 4th Ave. N,405 North 2nd Street,44.986087,-93.272459,19
30012,Mpls. Convention Center,1400 Marquette Avenue,44.970041,-93.275861,19
30013,Lake Street & Lyndale,2910 Lyndale Avenue S,44.94964,-93.28827,19
30014,22nd Ave S & Franklin Ave,2200 Franklin Ave,44.962923,-93.241013,15
30015,Washington & Cedar,1500 Washington Avenue S,44.97344,-93.24748,20
30016,Walker Art Center,1750 Hennepin Avenue ,44.96746,-93.28848,17
30017,22nd Street & Lyndale,2250 Lyndale Ave S,44.960744,-93.28815,19
30018,MCAD,2501 Stevens Avenue S - Minneapolis College of Art and Design,44.957214,-93.274981,17
30019,Social Sciences,269 19th Ave S,44.971359,-93.243754,29
30020,YWCA Uptown,2850 Hennepin Ave ,44.95131,-93.29853,19
30021,Washington & 2nd Ave. N,190 Washington  Ave. N,44.98383,-93.27099,19
30022,26th Street & Lyndale,2601 Lyndale Ave. S,44.95548,-93.28775,15
30023,Chicago & 27th Street,2705 Chicago Ave. S,44.95355,-93.26259,15
30024,Coffman Memorial Union,300 Washington Ave SE,44.973411,-93.234772,35
30025,Williamson Hall,331 Pillsbury Drive SE,44.977406,-93.234911,25
30026,Mayo Memorial Building,150 Union Street SE,44.97209,-93.23206,25
30027,4th Street S & 19th Ave.,1905 South 4th Street,44.97003,-93.24519,19
30028,Washington & Marquette,100 Washington Ave. S,44.98112,-93.26634,19
